CustomerID,Lookalikes
C0001,"[('C0137', 0.9962112629754638), ('C0152', 0.9810644990181483), ('C0056', 0.9482579835224701)]"
C0002,"[('C0029', 0.9995348566666873), ('C0199', 0.99858484559402), ('C0010', 0.9984869862496091)]"
C0003,"[('C0178', 0.9996894278379866), ('C0005', 0.999223799679947), ('C0073', 0.9984785252854043)]"
C0004,"[('C0021', 0.9997854801171627), ('C0075', 0.9995851081107424), ('C0067', 0.999206594708233)]"
C0005,"[('C0073', 0.999666986623941), ('C0063', 0.9994007672469035), ('C0159', 0.9992953646426336)]"
C0006,"[('C0079', 0.9999771688934571), ('C0117', 0.9978898632254388), ('C0196', 0.9887961815413687)]"
C0007,"[('C0085', 0.999857675584863), ('C0140', 0.99853477231425), ('C0070', 0.9960789693978743)]"
C0008,"[('C0194', 0.9963830439832919), ('C0154', 0.9941613135252719), ('C0090', 0.9910418377744797)]"
C0009,"[('C0077', 0.9997954982200685), ('C0032', 0.9974983679777031), ('C0199', 0.9969684191191535)]"
C0010,"[('C0029', 0.9996995348192107), ('C0025', 0.9991885304713041), ('C0002', 0.9984869862496091)]"
C0011,"[('C0183', 0.9985334521685566), ('C0048', 0.9985210165295916), ('C0016', 0.9981123784729454)]"
C0012,"[('C0102', 0.9959742838621766), ('C0145', 0.9855065306805755), ('C0165', 0.9809022642280015)]"
C0013,"[('C0045', 0.9999827293700759), ('C0041', 0.9992061962817078), ('C0022', 0.9987774330439124)]"
C0014,"[('C0128', 0.9982306143134968), ('C0058', 0.9963435681413657), ('C0151', 0.9956062597123907)]"
C0015,"[('C0036', 0.9993643154378872), ('C0150', 0.9983889873635561), ('C0197', 0.997263121614604)]"
C0016,"[('C0048', 0.9999750869460016), ('C0183', 0.9999734426969953), ('C0064', 0.9994205683658908)]"
C0017,"[('C0162', 0.9998572010125102), ('C0124', 0.9985955352676052), ('C0109', 0.9944933886330558)]"
C0018,"[('C0200', 0.9999997548789544), ('C0170', 0.9999920463332393), ('C0182', 0.9999868718944912)]"
C0019,"[('C0172', 0.9999929401536444), ('C0116', 0.9833381622447946), ('C0034', 0.9407682698487492)]"
C0020,"[('C0110', 0.9996604595335035), ('C0042', 0.9979170641989846), ('C0129', 0.9973376130754564)]"
